"mRNA"	"logFC"	"FDR"	"NT"	"TP"	"Delta"
"C4orf19"	"C4orf19"	-1.96686859266085	1.93201175222148e-10	107026.166666667	29123.5833333333	210506.405809552
"EIF3E"	"EIF3E"	-1.96532217635595	1.99688524400033e-10	47645.75	13144.0833333333	93639.2490841114
"DTD1"	"DTD1"	-1.9620737581954	2.13600834482467e-10	104470.083333333	28118	204978.00902482
"ARL3"	"ARL3"	1.96210965649354	2.13600834482467e-10	9237	37209.25	18124.0068970308
"TAF5"	"TAF5"	-1.95620181454533	2.43079332450844e-10	214306	60804	419225.786067952
"ABCE1"	"ABCE1"	1.94617819598125	3.06141234537825e-10	28046.25	109333.083333333	54583.0002290391
"WDR18"	"WDR18"	-1.94426958514265	3.24155048070903e-10	8989.5	2419.16666666667	17478.0114356399
"IL18"	"IL18"	1.93512697288952	3.92897060303989e-10	12681.4166666667	48201.5833333333	24540.1514461174
"PGAP3"	"PGAP3"	1.93216744519103	4.22164133523826e-10	4007.75	14753.75	7743.64407846435
"NPR1"	"NPR1"	1.92459126180276	5.02740479348815e-10	3079.41666666667	12207.1666666667	5926.61840811645
"NMNAT1"	"NMNAT1"	1.92202747617086	5.30267311892276e-10	3203.33333333333	12698.8333333333	6156.89468200067
"MEIS3"	"MEIS3"	-1.92051634037403	5.40035403966212e-10	90545.8333333333	24709.3333333333	173894.75246945
"CACNA1C"	"CACNA1C"	1.90234230133542	8.16451949529878e-10	81737.8333333333	340559.416666667	155493.337969505
"TYK2"	"TYK2"	-1.90164896221696	8.26208393559267e-10	113941.666666667	32102.8333333333	216677.052169937
"SPHK1"	"SPHK1"	-1.90041671140162	8.45784337222719e-10	144118	38566.8333333333	273884.255613778
"PHF20L1"	"PHF20L1"	1.89528563742028	9.62023224585593e-10	2629.33333333333	9739.91666666667	4983.33770265707
"MAD2L1"	"MAD2L1"	-1.89424726419697	9.6569625943064e-10	74522.9166666667	22913.5833333333	141164.831015812
"PDGFRB"	"PDGFRB"	-1.89406447824459	9.66032775818129e-10	37349.75	10589.75	70742.834746316
"VEZT"	"VEZT"	-1.89406435130541	9.66032775818129e-10	19701.5833333333	5560	37316.0666559395
"CDKL5"	"CDKL5"	-1.89313030407598	9.73384488555642e-10	34699.9166666667	9325.5	65691.4637905777
"PPDPF"	"PPDPF"	-1.8931349309776	9.73384488555642e-10	18073.5833333333	5132.75	34215.7319362679
"BTAF1"	"BTAF1"	1.89314256807429	9.73384488555642e-10	9206.41666666667	37507.5	17429.0592910953
"GLT8D1"	"GLT8D1"	-1.89244479451392	9.77335416177179e-10	107711.75	30012.5	203838.540595485
"TARBP1"	"TARBP1"	-1.89235939978256	9.77335416177179e-10	44841.25	12492.75	84855.7609354996
"CRIPT"	"CRIPT"	1.89159746112614	9.86634995664114e-10	375412.75	1490828.41666667	710129.804774383
"NYNRIN"	"NYNRIN"	1.88930971584309	1.03880925356873e-09	11727.4166666667	45093	22156.7222500735
"NDEL1"	"NDEL1"	-1.88687897548766	1.08902068629947e-09	6152375.66666667	1627169.41666667	11608788.2947352
"MATN3"	"MATN3"	1.8757282907851	1.41405401870038e-09	3919	14673.0833333333	7350.9791715868
"FAM160A1"	"FAM160A1"	-1.87426273093032	1.44614084149041e-09	31388.1666666667	8940.41666666667	58829.6709755628
"SERHL"	"SERHL"	-1.8692690605602	1.60592677811458e-09	181964.583333333	54036.6666666667	340140.765742728
"PLD2"	"PLD2"	1.86873208710179	1.61888516446076e-09	43402.25	165931.5	81107.1772274137
"MAGEF1"	"MAGEF1"	-1.86684177621818	1.68643213650909e-09	39713	11514.0833333333	74137.8874589524
"DCAF8"	"DCAF8"	-1.86351191258327	1.80549373378208e-09	211022.083333333	62906.0833333333	393242.166109807
"TESK1"	"TESK1"	-1.86317000532109	1.8189784416918e-09	33668.4166666667	9753.08333333333	62729.9840599859
"FAM200A"	"FAM200A"	1.86190167024091	1.8606020942028e-09	13893.6666666667	50351	25868.6411724371
"PHB2"	"PHB2"	1.86036871035816	1.93815434837201e-09	3128.25	10763.1666666667	5819.69841817793
"IL33"	"IL33"	-1.85198723675006	2.30180182963903e-09	265852.25	75386.9166666667	492354.973861286
"ME3"	"ME3"	-1.84895674401657	2.45592930765632e-09	113725.916666667	33013.25	210274.3005903
"TMEM39B"	"TMEM39B"	1.84865833251746	2.51722627192696e-09	1922.25	7373	3553.58347968169
"CD300C"	"CD300C"	-1.84678251344099	2.60847447765483e-09	7427.5	2136.75	13716.9771185829
"ZC3H12B"	"ZC3H12B"	-1.84522752996113	2.6534459196517e-09	21111.4166666667	6062.83333333333	38955.3672298136
"AACS"	"AACS"	1.83392467874501	3.3799745277196e-09	132734.166666667	478151	243424.463962653
"ZNF718"	"ZNF718"	1.8336603230544	3.43194037196748e-09	3199.91666666667	11594.1666666667	5867.56022874716
"R3HCC1"	"R3HCC1"	-1.8327559655618	3.47244449750985e-09	13612.75	4117.16666666667	24948.8487702013
"FAM117A"	"FAM117A"	1.82558738707222	4.03223138883779e-09	14043.5	53328.5833333333	25637.6364703487
"C1orf56"	"C1orf56"	1.82374467267635	4.18221316913956e-09	15956	54760.8333333333	29099.6699972239
"LZTS2"	"LZTS2"	1.8217377112813	4.35927034131653e-09	11761.1666666667	42740.25	21425.7608453312
"GCAT"	"GCAT"	1.81816015319231	4.69157328394255e-09	27742.9166666667	91979.5	50441.065616668
"LCP1"	"LCP1"	-1.81748746392239	4.78432681521762e-09	14030.75	4177.83333333333	25500.712234429
"UBR5"	"UBR5"	-1.8097896908014	5.59537905657774e-09	1834048.58333333	514070.666666667	3319242.21854559
"TMEM106C"	"TMEM106C"	1.80127654005128	6.76273476420992e-09	8083.5	30769.75	14560.6189115045
"ADAMTS3"	"ADAMTS3"	-1.79852487639145	7.13034594063736e-09	109581.833333333	32092.75	197085.653250582
"PAICS"	"PAICS"	1.79741641714299	7.27238793819228e-09	52385.25	185636.25	94158.1083661398
"COASY"	"COASY"	1.79207087141575	8.17191185572909e-09	11672.25	39989.8333333333	20917.4992288825
"ZFP36L2"	"ZFP36L2"	-1.78949718740661	8.59959632104751e-09	79713.25	22885.5	142646.63667404
