"mRNA"	"logFC"	"FDR"	"NT"	"TP"	"Delta"
"HOXB7"	"HOXB7"	-2.4818128917912	2.45346186118039e-62	861076.121212121	165967.393939394	2137029.8184378
"ANGPTL6"	"ANGPTL6"	2.47049869438137	7.9555768708332e-62	40408	242519.242424242	99827.9112425622
"NSF"	"NSF"	-2.4693813649653	8.84128909950855e-62	1657591.48484848	319220.454545455	4093225.52341002
"FAM171A1"	"FAM171A1"	2.46630135794929	1.21509327646174e-61	66240.4848484848	407464.666666667	163368.997733038
"SLC25A42"	"SLC25A42"	-2.45915756491028	2.53900016345665e-61	270708.484848485	53300.8787878788	665714.81840055
"MYADM"	"MYADM"	-2.4580508789907	2.82151166894997e-61	1376512.72727273	275196.727272727	3383538.31921461
"RXRA"	"RXRA"	2.45608107458146	3.471552431444e-61	27896.7878787879	170224.575757576	68516.7727507045
"STX5"	"STX5"	2.45020481122248	6.33252684751979e-61	34427.4545454545	203885.666666667	84354.3147654158
"OGFRL1"	"OGFRL1"	-2.44772604037176	8.18025482089584e-61	125620.181818182	24822.1515151515	307483.790232599
"NFIX"	"NFIX"	2.43367407423716	3.42755199834697e-60	134851.757575758	803464.939393939	328185.226277436
"MDFI"	"MDFI"	2.4316280474091	4.2285762993426e-60	44098.6363636364	261053.636363636	107231.481034313
"NOL8"	"NOL8"	2.42594204254284	7.54490229652187e-60	41305.1818181818	251090.363636364	100203.977147603
"CDCA3"	"CDCA3"	2.42357016092086	9.58754378265702e-60	41845.5757575758	240132.818181818	101415.688772614
"CCR10"	"CCR10"	-2.41881238442556	1.54523921845728e-59	2277587.33333333	455717.939393939	5509056.44847744
"CHFR"	"CHFR"	-2.41799377116106	1.68725719329613e-59	159514.575757576	32335.4848484848	385705.250591218
"LAMA3"	"LAMA3"	2.4138417112003	2.58836125009606e-59	16184.9696969697	92682.4545454545	39067.9549490584
"TCP1"	"TCP1"	-2.40782572289384	4.76400822042509e-59	87694.6363636364	18083.2121212121	211153.401196185
"BICC1"	"BICC1"	2.39215811421972	2.31867627145796e-58	38793.0303030303	217325.151515152	92799.0622145655
"CGGBP1"	"CGGBP1"	2.38888838117094	3.20671807421185e-58	92089.0606060606	520590.545454545	219990.486914765
"PBXIP1"	"PBXIP1"	-2.38518795134178	4.63972842006257e-58	1678870.33333333	352141.848484849	4004421.29093182
"B4GALT7"	"B4GALT7"	-2.38443877477328	4.98262638228288e-58	4306946.24242424	887067.787878788	10269649.6213004
"TMEM132B"	"TMEM132B"	-2.37859031774023	9.04158349730441e-58	182813.696969697	38207.0606060606	434838.889562417
"ZC3H10"	"ZC3H10"	2.37094518332895	1.94182751524672e-57	109273.818181818	602866.424242424	259082.232882145
"ATAD2"	"ATAD2"	2.3682004133928	2.55490294290222e-57	72629.2727272727	400574.151515151	172000.673697145
"NBN"	"NBN"	-2.36703492010954	2.87463693530501e-57	180745.575757576	37172.3333333333	427831.089473486
