"mRNA"	"logFC"	"FDR"	"NT"	"TP"	"Delta"
"ARHGEF16"	"ARHGEF16"	4.54133924775007	2.81940160204039e-21	18896.5689655172	446999.75862069	85815.7302909194
"OAS2"	"OAS2"	4.51073859633733	4.36827160768274e-21	26.9137931034483	575	121.401085325562
"PARP15"	"PARP15"	4.4984686976014	5.80227424848833e-21	105274.637931034	2410481.81034483	473574.66338408
"CSF2RA"	"CSF2RA"	4.48933093625822	6.67924717735731e-21	927.948275862069	12603.2586206897	4165.86690207506
"ZNF284"	"ZNF284"	4.48413566327339	7.29409104608558e-21	390.586206896552	8738.98275862069	1751.44153992751
"MUCL1"	"MUCL1"	4.47502899241074	8.45712867012664e-21	860.879310344828	17025.8275862069	3852.45987275967
"AIFM1"	"AIFM1"	4.46842923167924	9.34908794956527e-21	396.534482758621	7405.22413793103	1771.88627412743
"CAPN7"	"CAPN7"	4.46150778329504	1.04981686638984e-20	1320.3275862069	30614.9137931034	5890.65180236122
"RAB6A"	"RAB6A"	4.43896100438938	1.53324842533468e-20	30662.6551724138	684077.189655172	136110.330601383
"BMX"	"BMX"	4.40404596608485	2.76849326852745e-20	32.0344827586207	691.224137931035	141.081334568718
"S100A14"	"S100A14"	4.34655704826761	7.33378311697366e-20	49617.8448275862	1011986.29310345	215666.793155193
"MTMR7"	"MTMR7"	-4.32290957911481	1.09279859404962e-19	2564.13793103448	129.189655172414	11084.5364242406
"HGSNAT"	"HGSNAT"	4.31756943525559	1.18266227767234e-19	21580.8103448276	432361.310344828	93176.6471328753
"AHSP"	"AHSP"	4.28213860623106	2.14400669828098e-19	1598.68965517241	32128.8793103448	6845.81069179601
"MAN2A1"	"MAN2A1"	-4.27690076744374	2.32283677537111e-19	7345.36206896552	376.827586206897	31415.3846699108
"TRIM2"	"TRIM2"	4.27619014631101	2.33329797775648e-19	2501.48275862069	48011.3965517241	10696.8159235807
"CCT5"	"CCT5"	4.26105422336307	2.99087187339928e-19	687.413793103448	11810.5862068966	2929.10744630147
"P4HA1"	"P4HA1"	-4.23735833776134	4.44270165698322e-19	2323.96551724138	133.396551724138	9847.47466115261
"MC5R"	"MC5R"	4.22926865858007	4.98546230859704e-19	32.0862068965517	531.551724137931	135.701189200302
"TMC7"	"TMC7"	4.21988194741522	5.8765972313038e-19	4775.6724137931	91281.3103448276	20152.7738057344
"OR6C6"	"OR6C6"	4.17589508575347	1.22389768681413e-18	1237.01724137931	19102.0862068966	5165.65421926818
"ARHGEF38"	"ARHGEF38"	4.17458640800501	1.24358689146946e-18	2464.58620689655	44228.8620689655	10288.628080667
"CSN2"	"CSN2"	-4.17310997728733	1.2918277999557e-18	711.327586206897	34.7413793103448	2968.44824711971
"FAM74A3"	"FAM74A3"	4.14837388006596	1.90569834797303e-18	8472.27586206897	121340.051724138	35146.1678909202
"SLFN11"	"SLFN11"	4.14206628648314	2.09786749646113e-18	201.724137931034	3616.6724137931	835.554750894013
"ALDH2"	"ALDH2"	4.13666089905069	2.30054926462768e-18	23.5862068965517	474.362068965517	97.5681398258851
"BIRC2"	"BIRC2"	4.12896668972325	2.56759077442138e-18	40.3965517241379	723.827586206897	166.796016448648
"DR1"	"DR1"	-4.11463958103295	3.3462461616402e-18	1087.08620689655	47.3103448275862	4472.96793489153
"TCTEX1D4"	"TCTEX1D4"	4.09978830816756	4.15542412670051e-18	123.034482758621	2319.34482758621	504.415333915237
"FARS2"	"FARS2"	4.09810230473424	4.24465376565463e-18	2196.08620689655	36410.6206896552	8999.78594587783
"UBE3C"	"UBE3C"	4.09525975867733	4.42035855813788e-18	49071.5	981430.982758621	200960.539247935
"HLA-H"	"HLA-H"	4.07636531096093	5.47794306148106e-18	32.6896551724138	447.465517241379	133.254976372102
"MBLAC1"	"MBLAC1"	4.06735696744323	7.01510837623968e-18	31.4137931034483	595.310344827586	127.77111025313
"MGST2"	"MGST2"	4.06595376582978	7.02141755621e-18	28212.5517241379	483336.25862069	114710.930926426
"TMEM52"	"TMEM52"	4.06621174286955	7.02141755621e-18	25016.3275862069	430472.775862069	101721.684994506
"TEX264"	"TEX264"	4.05622737993791	8.1858751755099e-18	720.948275862069	11102.8620689655	2924.33013607075
"POU2F2"	"POU2F2"	4.02305511932006	1.41507402947765e-17	57.0172413793103	885	229.383504820542
"CPB1"	"CPB1"	4.01534249361009	1.59894180115719e-17	904.172413793103	14405.1206896552	3630.56191465345
"VDR"	"VDR"	4.01235735586041	1.67177226760157e-17	614.362068965517	10234.3103448276	2465.04016657542
"GALNT8"	"GALNT8"	4.00660368065852	1.82711940812702e-17	8395.03448275862	134820.793103448	33635.5760578759
"CASC3"	"CASC3"	4.00060154889744	1.99824980616e-17	179	2767.72413793103	716.107677252641
"AZGP1"	"AZGP1"	3.99771350926969	2.07467122205781e-17	28.2413793103448	464.896551724138	112.900943589375
"SLC44A4"	"SLC44A4"	3.99084586515515	2.3464402938783e-17	83.4827586206897	1454.43103448276	333.166822053125
"GSDMD"	"GSDMD"	3.98642649289874	2.4877041911744e-17	669.637931034483	10913.0517241379	2669.46238892576
"SHOX2"	"SHOX2"	3.98567004957495	2.50324123389238e-17	513.827586206897	8476.29310344828	2047.94722099022
"GADD45B"	"GADD45B"	-3.9856807183947	2.62229990728222e-17	648.637931034483	33.1896551724138	2585.26369494357
"C6orf10"	"C6orf10"	3.96664534906975	3.39065817332101e-17	7590.1724137931	114417.827586207	30107.5221038099
"RBM22"	"RBM22"	-3.94775417608398	4.57497240488777e-17	1374.48275862069	102.879310344828	5426.12005030026
"C2CD4C"	"C2CD4C"	3.9411816006728	5.10482102281733e-17	1877.41379310345	29164.4655172414	7399.22869822865
"CBLL1"	"CBLL1"	3.93987592438025	5.14911769084279e-17	1323.03448275862	19895.0172413793	5212.59170574557
"GHRHR"	"GHRHR"	3.93822251393291	5.14911769084279e-17	95.0689655172414	1036.1724137931	374.402740376312
"SLC29A1"	"SLC29A1"	3.93915314978426	5.17734456029755e-17	2451.37931034483	39033.0172413793	9656.35853166079
"KIAA1217"	"KIAA1217"	-3.93747104471537	5.17734456029755e-17	557.586206896552	24.5689655172414	2195.47954458784
"FLVCR2"	"FLVCR2"	-3.92998513611624	5.70962639494792e-17	1166.15517241379	63.3275862068966	4582.97249399128
"C2orf74"	"C2orf74"	3.91940698557227	7.05334185337838e-17	38663.3965517241	586646.931034483	151537.586530778
"GSG1"	"GSG1"	3.91487961097062	7.55652641609371e-17	313.155172413793	4748.72413793103	1225.96479955275
"ZNF804B"	"ZNF804B"	3.90834688310763	8.36556870531814e-17	20072.4310344828	300417.931034483	78450.0232700136
"NUDC"	"NUDC"	-3.89930176661307	8.95393486792542e-17	1374.37931034483	121.51724137931	5359.11967282404
"ARHGAP17"	"ARHGAP17"	-3.87369310935151	1.47938195667521e-16	450.224137931034	31.8103448275862	1744.03014076717
"PLEKHF2"	"PLEKHF2"	3.87264445733637	1.48983480070795e-16	55.3620689655172	954.051724137931	214.397609525984
"PRDM12"	"PRDM12"	-3.84484665933281	2.32331584882594e-16	497627	36760.1034482759	1913299.50854381
"OTUD4"	"OTUD4"	3.84251263429787	2.39991179690887e-16	5940.36206896552	77949.8275862069	22825.9163023038
